trueRr,uniformAttributableRisk,baselineRate,usageRateSlope,censorType,censorStrength,coverage,crudeBias,meanDiagnosticRatio,fractionFailingDiagnostic,meanDiagnostic2Ratio,fractionFailingDiagnostic2,meanPreExposureRatio,fractionFailingPreExposure,meanPreExposureRr,fractionFailingPreExposureLb,fractionFailingPreExposureLb125,fractionFailingPreExposureUb,fractionFailingPreExposureUb125,fractionFailingPreExposure125,bias
2,TRUE,1e-4,1e-5,Permanent,Strong,0,0.6206089985751853,0.5769888516250897,0.97,1.556691543056073,0.74,4.189307441028645e-6,0,0.021332804814093033,0,0,1,1,1,0.6308696995926347
2,TRUE,1e-4,1e-5,Permanent when exposed,Weak,0,2.6624259264362364,0.055677062631317276,1,0.12299931341565307,1,2.0282228095623234e-5,0,0.07918328231433562,0,0,1,1,1,2.6538280056285153
2,TRUE,1e-4,1e-5,Permanent when exposed,Strong,0,1.4182874333029614,0.06706420885780488,1,0.1560352376636303,1,7.842533549107709e-6,0,0.017760089221067064,0,0,0.96,0.83,0.83,1.4266717987246587
2,TRUE,1e-4,1e-5,Reverse causality,Weak,0,0.4890149948195035,1.1915787226366779,0.04,1.8927690638645949,1,0.6291738965411621,0,1.7489331123609424,1,0.98,0,0,0.98,0.48857348843810483
2,TRUE,1e-4,1e-5,Reverse causality,Strong,0,1.1548629042267233,1.3960018187578855,0.99,2.5168595103111415,1,0.6510700258615466,0.01,3.0980300861600205,1,1,0,0,1,1.1532904163311941
2,TRUE,1e-4,1e-5,None,None,0.93,-0.03281607527425437,1.0380580268792519,0,1.5258672176606447,0.96,0.5098727344492284,0,0.9772909881508295,0.01,0,0.04,0,0,-0.032758944629358334
2,FALSE,1e-4,1e-5,Temporary,Weak,0.53,-0.15831089726495925,1.1309335396026947,0.02,1.7732195443542702,0.99,0.4002925500928528,0,0.6426099395984735,0,0,0.99,0.49,0.49,-0.15824189269724856
2,FALSE,1e-4,1e-5,Temporary,Strong,0.11,-0.2587684854815719,0.9445236844176225,0,1.7645694599146373,0.99,0.0498614166373569,0,0.16704945151519382,0,0,1,1,1,-0.2586480306125107
2,FALSE,1e-4,1e-5,Permanent,Weak,0,0.9487750429864039,0.7050009122261414,0.87,1.7637207142223488,0.99,1.7409463603280016e-7,0,0.00387469191144185,0,0,1,1,1,0.9496861341180726
2,FALSE,1e-4,1e-5,Permanent,Strong,0.04,0.5882888731322811,0.728726285688209,0.58,1.8106534484885548,0.87,2.290665811505599e-6,0,0.018225633977471636,0,0,1,1,1,0.5999613251160623
2,FALSE,1e-4,1e-5,Permanent when exposed,Weak,0,2.5726253451121894,0.061278393543453304,1,0.12736483683887256,1,2.1132254623398887e-6,0,0.06265569450846646,0,0,1,1,1,2.5648950368748715
2,FALSE,1e-4,1e-5,Permanent when exposed,Strong,0,1.3745378252875626,0.08301661508737962,1,0.18797385933855099,1,1.8212115338276774e-6,0,0.011907341104032165,0,0,0.99,0.9,0.9,1.3833944075007012
2,FALSE,1e-4,1e-5,Reverse causality,Weak,0,1.1534134408736878,1.1819079553553904,0.02,2.3349166586910615,1,0.3544993871896989,0,1.7218267145191912,1,0.97,0,0,0.97,1.1509874170394825
2,FALSE,1e-4,1e-5,Reverse causality,Strong,0,1.7806140582436358,1.367110269739757,0.99,2.982562496881179,1,0.3485612788691693,0,2.862194005285955,1,1,0,0,1,1.776892300117775
2,FALSE,1e-4,1e-5,None,None,0.74,-0.11397398206422528,1.2115543957152157,0.12,1.7776964926505505,0.99,0.5236934941415325,0,0.8893298285096459,0,0,0.17,0.01,0.01,-0.1136032827374966
2,TRUE,1e-4,-1e-5,Temporary,Weak,0.97,0.04704397124482929,0.8305977092539532,0.19,1.5529522968098846,0.73,0.4182784107746445,0,0.7629977739847029,0.01,0,0.24,0.04,0.04,0.05622629497211637
2,TRUE,1e-4,-1e-5,Temporary,Strong,0.98,0.04305358269264356,0.6758221350961894,0.86,1.5497639510834083,0.73,0.04758624598343759,0,0.20851746060488888,0,0,1,1,1,0.052052983377524044
2,TRUE,1e-4,-1e-5,Permanent,Weak,0.45,0.31927512005502834,0.4891984701512752,0.99,1.5678579503320447,0.64,1.2816669297312254e-7,0,0.0019242273874092843,0,0,1,1,1,0.33181033199228716
2,TRUE,1e-4,-1e-5,Permanent,Strong,0.77,0.24242440334048054,0.4774303748154839,0.87,1.5801112235542418,0.6,8.24621773408294e-7,0,0.004613118284130836,0,0,0.91,0.74,0.74,0.30871608649298354
2,TRUE,1e-4,-1e-5,Permanent when exposed,Weak,0,4.711242976203568,0.04352943486907273,1,0.27975372919611763,0.89,1.0215927824780548e-7,0,0.00161130570211572,0,0,0.66,0.45,0.87,4.623028931439585
2,TRUE,1e-4,-1e-5,Permanent when exposed,Strong,0,3.458603495002228,0.04680739142189251,1,6.301835418472714,0.6739130434782609,6.419023634320893e-8,0,0.0028769454002159412,0,0,0,0,0.97,3.4411088636261806
2,TRUE,1e-4,-1e-5,Reverse causality,Weak,0.03,0.4982305214913658,1.1262313665983668,0.04,2.1293030474753194,0.99,0.6921156241754319,0,2.0657961327886722,1,0.86,0,0,0.86,0.5046924472390629
2,TRUE,1e-4,-1e-5,Reverse causality,Strong,0,1.1891222398958579,1.481683461941132,0.92,3.1947207452136794,1,0.7360400426523528,0,4.81767091477653,1,1,0,0,1,1.191800123277879
2,TRUE,1e-4,-1e-5,None,None,0.97,0.04810030970523175,0.9050950893387943,0.02,1.5529654036426255,0.73,0.5697052919561211,0,1.042877907241727,0.06,0,0,0,0,0.05730018407742887
